exp	azimuth	deepcrispr	deephf
0.247750296497335	0.7154	0.1949089319	0.6673122048377991
0.141232423490488	0.5778	0.1784929037	0.5592983961105347
0.0458026686842286	0.6303	0.5947347879	0.6568448543548584
0.48484848484848403	0.6162	0.1578406990	0.6035081148147583
0.13375517202818	0.5741	0.3826872408	0.49445778131484985
0.205037454203193	0.5669	0.1361046582	0.5956693887710571
0.0386795713791911	0.6772	0.1494568586	0.6385331153869629
0.228696741854636	0.5772	0.1624549627	0.6412777304649353
0.261430757545294	0.7155	0.2412632257	0.6690042614936829
0.5126361964058289	0.6863	0.1824913919	0.6245889067649841
0.14333464859696698	0.6939	0.1504213810	0.6423563957214355
0.0938704205098246	0.5879	0.0573922247	0.5929318070411682
0.10179045092838099	0.7046	0.2404080629	0.7593762278556824
0.119657141287276	0.6966	0.2230145335	0.6763759851455688
0.105744076760611	0.6349	0.3332104683	0.6503040194511414
0.69024024024024	0.6061	0.1293178797	0.6304570436477661
0.138357705286839	0.7086	0.2377064526	0.7051695585250854
0.180172550890585	0.5519	0.2023726702	0.6907484531402588
0.10816984564753801	0.6626	0.1560883075	0.7341724634170532
0.0669752766038461	0.5939	0.1435588002	0.45818841457366943
0.23651824769863503	0.5952	0.3628496230	0.6012596487998962
0.0522230063514467	0.5511	0.2240442932	0.7048123478889465
0.146461477494138	0.6028	0.3980041146	0.5230188965797424
0.150101988781234	0.5521	0.1617898941	0.5839834213256836
0.6491071428571421	0.5995	0.2806111276	0.4959321618080139
0.0814746019144059	0.6572	0.1015493721	0.639866292476654
0.23641025641025604	0.6092	0.2285667509	0.6715927124023438
0.707140021550501	0.6879	0.4300700426	0.6508195400238037
0.32026143790849604	0.7067	0.1751902997	0.6835325956344604
0.353477335951562	0.6496	0.2462492883	0.7073696255683899
0.068096357226792	0.6736	0.2267851233	0.7267578840255737
0.214841382097393	0.6967	0.2471069545	0.6954987049102783
0.32062165775401	0.6659999999999999	0.3141095936	0.6426029205322266
0.116292381268255	0.6359	0.3249790668	0.6074378490447998
